0,0,0
0.052632,-0,0
0.10526,-0,0
0.15789,-0,0
0.21053,-0,0
0.26316,-0,0
0.31579,-0,0
0.36842,-0,0
0.42105,-0,0
0.47368,-0,0
0.52632,0,0
0.57895,0,0
0.63158,0,0
0.68421,0,0
0.73684,0,0
0.78947,0,0
0.84211,0,0
0.89474,0,0
0.94737,0,0
1,0,0
1,0,1.5708
1,0.052632,1.5708
1,0.10526,1.5708
1,0.15789,1.5708
1,0.21053,1.5708
1,0.26316,1.5708
1,0.31579,1.5708
1,0.36842,1.5708
1,0.42105,1.5708
1,0.47368,1.5708
1,0.52632,1.5708
1,0.57895,1.5708
1,0.63158,1.5708
1,0.68421,1.5708
1,0.73684,1.5708
1,0.78947,1.5708
1,0.84211,1.5708
1,0.89474,1.5708
1,0.94737,1.5708
1,1,1.5708
1,1,1.5708
1,0.94737,-1.5708
1,0.89474,-1.5708
1,0.84211,-1.5708
1,0.78947,-1.5708
1,0.73684,-1.5708
1,0.68421,-1.5708
1,0.63158,-1.5708
1,0.57895,-1.5708
1,0.52632,-1.5708
1,0.47368,-1.5708
1,0.42105,-1.5708
1,0.36842,-1.5708
1,0.31579,-1.5708
1,0.26316,-1.5708
1,0.21053,-1.5708
1,0.15789,-1.5708
1,0.10526,-1.5708
1,0.052632,-1.5708
1,0,-1.5708
1,0,1.5708
0.94737,-0,3.1416
0.89474,-0,3.1416
0.84211,-0,3.1416
0.78947,-0,3.1416
0.73684,-0,3.1416
0.68421,-0,3.1416
0.63158,-0,3.1416
0.57895,-0,3.1416
0.52632,-0,3.1416
0.47368,0,3.1416
0.42105,0,3.1416
0.36842,0,3.1416
0.31579,0,3.1416
0.26316,0,3.1416
0.21053,0,3.1416
0.15789,0,3.1416
0.10526,0,3.1416
0.052632,0,3.1416
0,0,3.1416
