1,1,0
1.3973,1.0158,0.079534
1.792,1.0631,0.15907
2.1817,1.1417,0.2386
2.564,1.2509,0.31814
2.9364,1.3902,0.39767
3.2965,1.5586,0.4772
3.6421,1.7551,0.55674
3.971,1.9784,0.63627
4.2811,2.2272,0.71581
4.5705,2.4998,0.79534
4.8373,2.7945,0.87487
5.0799,3.1095,0.95441
5.2966,3.4428,1.0339
5.4862,3.7923,1.1135
5.6474,4.1557,1.193
5.7793,4.5307,1.2725
5.8809,4.9151,1.3521
5.9516,5.3063,1.4316
5.9911,5.7019,1.5111
5.999,6.0994,1.5907
5.9753,6.4963,1.6702
5.9202,6.89,1.7497
5.8339,7.2781,1.8293
5.7171,7.6581,1.9088
5.5704,8.0276,1.9883
5.3949,8.3843,2.0679
5.1915,8.726,2.1474
4.9617,9.0504,2.227
4.7068,9.3555,2.3065
4.4285,9.6394,2.386
4.1285,9.9003,2.4656
3.8088,10.137,2.5451
3.4712,10.347,2.6246
3.1181,10.529,2.7042
2.7516,10.683,2.7837
2.3739,10.808,2.8632
1.9876,10.901,2.9428
1.5951,10.964,3.0223
1.1988,10.996,3.1018
0.80122,10.996,3.1814
0.40491,10.964,3.2609
0.012363,10.901,3.3404
-0.37394,10.808,3.42
-0.75155,10.683,3.4995
-1.1181,10.529,3.579
-1.4712,10.347,3.6586
-1.8088,10.137,3.7381
-2.1285,9.9003,3.8176
-2.4285,9.6394,3.8972
-2.7068,9.3555,3.9767
-2.9617,9.0504,4.0562
-3.1915,8.726,4.1358
-3.3949,8.3843,4.2153
-3.5704,8.0276,4.2948
-3.7171,7.6581,4.3744
-3.8339,7.2781,4.4539
-3.9202,6.89,4.5334
-3.9753,6.4963,4.613
-3.999,6.0994,4.6925
-3.9911,5.7019,4.772
-3.9516,5.3063,4.8516
-3.8809,4.9151,4.9311
-3.7793,4.5307,5.0106
-3.6474,4.1557,5.0902
-3.4862,3.7923,5.1697
-3.2966,3.4428,5.2492
-3.0799,3.1095,5.3288
-2.8373,2.7945,5.4083
-2.5705,2.4998,5.4878
-2.2811,2.2272,5.5674
-1.971,1.9784,5.6469
-1.6421,1.7551,5.7264
-1.2965,1.5586,5.806
-0.93636,1.3902,5.8855
-0.56398,1.2509,5.965
-0.18172,1.1417,6.0446
0.20801,1.0631,6.1241
0.60275,1.0158,6.2037
1,1,6.2832
